epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0684,1.16225,4.94511,1.3992,0,0,0,0,0.78416,3.90971,1.06517,9.0695e-05,9.0695e-05,9.0695e-05
2,44.4857,0.95428,4.28573,1.1635,0.07786,0.8125,0.25929,0.20105,0.84753,3.29368,1.07801,0.000179731,0.000179731,0.000179731
3,62.5846,0.97987,3.74132,1.17008,0.62426,0.32655,0.45865,0.35525,0.85892,2.472,1.14628,0.000265098,0.000265098,0.000265098
4,80.4608,0.97981,3.17239,1.17246,0.59388,0.63979,0.68766,0.54078,0.84659,1.84711,1.1451,0.000261487,0.000261487,0.000261487
5,98.2079,0.95644,2.74366,1.17525,0.71793,0.78128,0.82969,0.6728,0.79981,1.3082,1.11627,0.000255982,0.000255982,0.000255982
6,116.204,0.91301,2.42868,1.1379,0.79902,0.79075,0.89631,0.73239,0.75669,1.09856,1.07624,0.000250478,0.000250478,0.000250478
7,134.404,0.88238,2.14711,1.11268,0.81611,0.85287,0.94943,0.76291,0.7945,1.07811,1.10006,0.000244974,0.000244974,0.000244974
8,152.003,0.85485,1.9597,1.08095,0.80617,0.89475,0.95178,0.79203,0.71216,0.81947,1.05846,0.000239469,0.000239469,0.000239469
9,169.817,0.84197,1.85831,1.08612,0.84117,0.90655,0.96308,0.79356,0.69444,0.80133,1.03132,0.000233965,0.000233965,0.000233965
10,187.812,0.79846,1.72867,1.06792,0.9408,0.85298,0.9646,0.79417,0.73054,0.766,1.03768,0.00022846,0.00022846,0.00022846
11,205.562,0.79652,1.65635,1.0594,0.807,0.96694,0.96786,0.80605,0.68498,0.68452,1.01876,0.000222956,0.000222956,0.000222956
12,223.197,0.81226,1.55442,1.07603,0.93124,0.93822,0.97995,0.81398,0.72169,0.62964,1.04985,0.000217452,0.000217452,0.000217452
13,240.883,0.77046,1.46804,1.04455,0.87378,0.97462,0.98256,0.83306,0.66137,0.60837,1.00275,0.000211947,0.000211947,0.000211947
14,258.561,0.76263,1.41782,1.04426,0.83177,0.96414,0.9697,0.82608,0.64474,0.66013,1.00949,0.000206443,0.000206443,0.000206443
15,276.364,0.76417,1.36833,1.03794,0.93083,0.93799,0.9867,0.8308,0.6654,0.57283,1.01535,0.000200938,0.000200938,0.000200938
16,293.685,0.74297,1.38792,1.03614,0.92735,0.98198,0.98929,0.84231,0.64651,0.52922,1.0056,0.000195434,0.000195434,0.000195434
